customer_id,snapshot_date,recency_days,frequency_12m,monetary_12m,avg_order_value,discount_order_share,email_engagement_rate,digital_order_share,return_rate,tenure_days,synthetic_profile_truth,marketing_consent,region
C000025,2026-06-30,136,5,482.04,84.79,0.1573,0.27,0.3072,0.0819,187,at_risk,1,MIDWEST
C000026,2026-06-30,14,4,512.92,113.62,0.1965,0.3433,0.532,0.0257,1643,loyal,1,WEST
C000027,2026-06-30,25,7,445.17,61.47,0.2058,0.5281,0.7525,0.0657,922,growth,1,MIDWEST
C000028,2026-06-30,7,16,2158.99,125.87,0.0098,0.5703,0.7983,0.0034,2082,champions,1,SOUTH
C000029,2026-06-30,40,15,1546.71,109.47,0.127,0.5226,0.591,0.0165,1043,loyal,1,SOUTH
C000030,2026-06-30,34,13,746.12,60.51,0.4726,0.3463,0.8336,0.0654,733,deal_seekers,0,NORTHEAST
C000031,2026-06-30,200,8,743.79,101.5,0.1182,0.0458,0.5119,0.065,1378,at_risk,1,SOUTH
C000032,2026-06-30,122,2,95.2,57.16,0.3566,0.0059,0.1838,0.0956,1164,dormant,1,MIDWEST
C000033,2026-06-30,24,17,1109.91,74.2,0.2118,0.6217,0.6541,0.0464,1387,loyal,1,SOUTH
C000034,2026-06-30,51,6,518.1,81.56,0.237,0.4046,0.905,0.1228,440,growth,1,NORTHEAST
C000035,2026-06-30,80,6,452.68,80.48,0.2534,0.359,0.6414,0.0503,347,growth,1,NORTHEAST
C000036,2026-06-30,6,11,1598.43,121.3,0.1825,0.5644,0.5342,0.0439,2172,loyal,1,WEST
C000037,2026-06-30,13,22,3487.55,156.73,0.1206,0.6064,0.5983,0.0357,1905,champions,1,WEST
C000038,2026-06-30,100,9,610.94,65.06,0.3081,0.3491,0.8624,0.0721,546,growth,1,NORTHEAST
C000039,2026-06-30,9,11,1153.16,105.92,0.1434,0.3369,0.4854,0.0423,1533,loyal,1,NORTHEAST
C000040,2026-06-30,1,17,811.22,55.46,0.4629,0.3264,0.5598,0.0987,441,deal_seekers,1,MIDWEST
C000041,2026-06-30,160,9,905.15,101.23,0.2016,0.3369,0.8657,0.1309,496,growth,1,SOUTH
C000042,2026-06-30,115,4,394.41,110.16,0.3486,0.2426,0.3608,0.0552,613,at_risk,1,WEST
C000043,2026-06-30,88,3,374.35,118.75,0.1926,0.2084,0.4441,0.083,902,at_risk,1,MIDWEST
C000044,2026-06-30,65,18,1246.55,91.51,0.2374,0.6362,0.4483,0.0306,1943,loyal,1,SOUTH
C000045,2026-06-30,233,2,120.44,63.9,0.1143,0.1665,0.5968,0.1389,732,at_risk,1,MIDWEST
C000046,2026-06-30,15,3,339.25,101.76,0.2243,0.174,0.2681,0.0446,812,at_risk,1,SOUTH
C000047,2026-06-30,55,7,708.14,75.77,0.1795,0.4618,0.7263,0.054,424,growth,1,MIDWEST
C000048,2026-06-30,22,6,933.24,137.52,0.2683,0.4252,0.4406,0.0142,1261,loyal,0,SOUTH
C000049,2026-06-30,19,10,627.59,67.05,0.7252,0.3657,0.6097,0.078,348,deal_seekers,1,NORTHEAST
C000050,2026-06-30,17,6,907.71,135.78,0.1235,0.5718,0.495,0.0538,2357,loyal,1,SOUTH
C000051,2026-06-30,42,20,1797.04,105.91,0.1854,0.5434,0.6329,0.0108,649,loyal,1,SOUTH
C000052,2026-06-30,5,20,3257.38,174.92,0.1196,0.6925,0.7662,0.0301,1818,champions,1,NORTHEAST
C000053,2026-06-30,201,5,462.1,94.09,0.1279,0.2813,0.4476,0.0501,1533,at_risk,1,NORTHEAST
C000054,2026-06-30,26,10,503.48,57.67,0.5429,0.5253,0.5659,0.0292,650,deal_seekers,1,MIDWEST
C000055,2026-06-30,102,9,697.79,83.77,0.3427,0.2374,0.5507,0.0591,1709,at_risk,1,SOUTH
C000056,2026-06-30,12,2,158.79,78.62,0.1576,0.0717,0.5184,0.039,563,at_risk,1,MIDWEST
C000057,2026-06-30,38,6,340.91,54.15,0.3326,0.4716,0.8269,0.1431,171,growth,1,NORTHEAST
C000058,2026-06-30,53,15,915.77,61.61,0.6906,0.6997,0.7048,0.0413,713,deal_seekers,1,MIDWEST
C000059,2026-06-30,5,9,668.82,68.97,0.1517,0.3447,0.6221,0.0031,839,loyal,1,WEST
C000060,2026-06-30,7,10,871.58,109.41,0.0545,0.5451,0.7913,0.0026,1659,champions,1,SOUTH
C000061,2026-06-30,10,11,599.92,53.8,0.6691,0.5354,0.8883,0.1444,509,deal_seekers,1,WEST
C000062,2026-06-30,38,3,333.94,92.9,0.1774,0.5073,0.9521,0.0348,623,growth,1,WEST
C000063,2026-06-30,53,9,755.43,93.56,0.6674,0.6612,0.5568,0.108,487,deal_seekers,1,NORTHEAST
C000064,2026-06-30,112,9,1315.25,133.72,0.2636,0.2315,0.2195,0.051,1844,at_risk,1,SOUTH
C000065,2026-06-30,37,11,827.54,66.95,0.4372,0.5113,0.6977,0.2244,468,deal_seekers,1,SOUTH
C000066,2026-06-30,26,14,1093.86,71.07,0.5921,0.5412,0.7598,0.0821,291,deal_seekers,1,NORTHEAST
C000067,2026-06-30,48,13,557.89,45.44,0.6238,0.3781,0.8329,0.1039,886,deal_seekers,1,SOUTH
C000068,2026-06-30,31,7,734.77,93.43,0.1076,0.4728,0.4939,0.0318,1412,loyal,1,NORTHEAST
C000069,2026-06-30,6,10,1935.07,186.14,0.0288,0.7802,0.5746,0.0423,2248,champions,1,SOUTH
C000070,2026-06-30,42,5,416.12,106.02,0.3622,0.661,0.7671,0.0868,815,growth,1,NORTHEAST
C000071,2026-06-30,6,9,622.27,62.43,0.152,0.6409,0.4478,0.0124,1296,loyal,1,NORTHEAST
C000072,2026-06-30,115,7,361.34,53.81,0.2048,0.5395,0.8501,0.0006,884,growth,1,WEST
C000073,2026-06-30,109,1,116.29,103.58,0.4067,0.1099,0.4974,0.0306,961,at_risk,1,SOUTH
C000074,2026-06-30,14,24,2674.58,109.17,0.2018,0.4922,0.64,0.0423,1216,loyal,1,WEST
C000075,2026-06-30,3,21,4107.02,184.99,0.0657,0.6426,0.7444,0.0214,932,champions,1,MIDWEST
C000076,2026-06-30,39,15,1568.57,92.78,0.2582,0.538,0.4013,0.0858,3044,loyal,1,WEST
C000077,2026-06-30,13,16,1646.09,102.41,0.3989,0.7107,0.7192,0.0352,872,loyal,1,MIDWEST
C000078,2026-06-30,32,9,528.74,55.32,0.678,0.7021,0.4781,0.0705,494,deal_seekers,1,NORTHEAST
C000079,2026-06-30,24,4,160.78,42.91,0.6938,0.399,0.7622,0.0742,654,deal_seekers,0,SOUTH
C000080,2026-06-30,33,5,269.85,73.95,0.2588,0.1499,0.6024,0.0725,1367,at_risk,1,SOUTH
C000081,2026-06-30,50,10,446.77,39.47,0.4367,0.2145,0.6347,0.1456,815,deal_seekers,1,SOUTH
C000082,2026-06-30,59,6,268.28,42.01,0.2438,0.5283,0.9255,0.0259,715,growth,1,MIDWEST
C000083,2026-06-30,76,3,205.75,80.21,0.3641,0.2715,0.5185,0.0277,320,at_risk,1,MIDWEST
C000084,2026-06-30,10,8,594.58,71.93,0.2098,0.335,0.586,0.1122,362,loyal,1,WEST
C000085,2026-06-30,1,22,2164.64,102.14,0.0581,0.7013,0.5349,0.0107,807,champions,1,NORTHEAST
C000086,2026-06-30,17,11,1859.65,156.17,0.0388,0.7049,0.8498,0.0155,1311,champions,1,SOUTH
C000087,2026-06-30,140,3,477.4,137.94,0.3244,0.2488,0.2386,0.0423,569,at_risk,1,MIDWEST
C000088,2026-06-30,35,6,546.92,86.17,0.2882,0.6621,0.8094,0.0276,894,growth,1,MIDWEST
C000089,2026-06-30,17,9,1796.97,184.4,0.2813,0.6593,0.7307,0.0186,1831,loyal,1,MIDWEST
C000090,2026-06-30,57,9,873.12,95.63,0.1106,0.4121,0.8746,0.0527,517,growth,0,NORTHEAST
C000091,2026-06-30,26,11,1210.02,118.23,0.2039,0.5158,0.6563,0.0059,1713,loyal,1,WEST
C000092,2026-06-30,54,18,991.9,61.69,0.6802,0.8013,0.5883,0.0325,297,deal_seekers,1,NORTHEAST
C000093,2026-06-30,14,8,440.36,58.19,0.1113,0.5195,0.6918,0.0703,431,growth,1,MIDWEST
C000094,2026-06-30,101,5,357.6,75.47,0.2474,0.4863,0.9043,0.1218,224,growth,1,SOUTH
C000095,2026-06-30,31,9,943.26,104.32,0.3548,0.6849,0.5986,0.0662,1122,loyal,1,SOUTH
C000096,2026-06-30,50,19,1206.18,79.56,0.6457,0.6949,0.5437,0.1824,684,deal_seekers,1,MIDWEST
C000097,2026-06-30,10,8,857.73,94.88,0.3669,0.4728,0.9229,0.029,551,growth,1,MIDWEST
C000098,2026-06-30,2,15,1795.18,143.93,0.1695,0.7063,0.5852,0.0112,1510,champions,1,MIDWEST
C000099,2026-06-30,8,24,2233.85,107.05,0.1333,0.393,0.7269,0.066,585,champions,1,SOUTH
C000100,2026-06-30,21,0,0.0,59.48,0.3259,0.0507,0.3477,0.1913,997,dormant,1,MIDWEST
C000101,2026-06-30,296,1,52.66,53.1,0.2481,0.2008,0.305,0.0113,1105,dormant,1,MIDWEST
C000102,2026-06-30,51,16,989.35,52.13,0.5582,0.5738,0.6169,0.0182,942,deal_seekers,1,SOUTH
C000103,2026-06-30,19,9,748.71,94.39,0.1163,0.3536,0.6436,0.207,826,loyal,1,MIDWEST
C000104,2026-06-30,429,1,89.48,84.96,0.1919,0.0203,0.4908,0.0741,369,dormant,1,NORTHEAST
C000105,2026-06-30,90,4,335.7,87.4,0.3433,0.3321,0.6222,0.4318,1379,at_risk,0,SOUTH
C000106,2026-06-30,28,5,409.77,92.21,0.1444,0.3322,0.2945,0.1329,1355,at_risk,1,MIDWEST
C000107,2026-06-30,16,8,565.24,75.09,0.142,0.216,0.9648,0.0874,1783,growth,1,MIDWEST
C000108,2026-06-30,12,14,1270.35,94.37,0.1651,0.6611,0.4645,0.0091,1827,loyal,1,MIDWEST
C000109,2026-06-30,8,18,2049.29,109.3,0.1552,0.8215,0.8045,0.0257,2060,champions,1,WEST
C000110,2026-06-30,331,1,92.58,83.44,0.567,0.0506,0.4448,0.0195,674,dormant,1,WEST
C000111,2026-06-30,148,6,429.57,81.97,0.2993,0.4221,0.8112,0.0222,574,growth,1,SOUTH
C000112,2026-06-30,25,14,1656.42,107.23,0.1325,0.5291,0.7382,0.0217,1154,loyal,1,WEST
C000113,2026-06-30,32,10,810.86,72.77,0.0558,0.4227,0.4908,0.0617,694,loyal,1,NORTHEAST
C000114,2026-06-30,45,12,557.99,45.59,0.3891,0.5575,0.7167,0.0585,178,deal_seekers,1,WEST
C000115,2026-06-30,16,14,812.73,67.02,0.1848,0.744,0.4762,0.0361,1567,loyal,1,NORTHEAST
C000116,2026-06-30,177,5,433.18,82.41,0.2962,0.1555,0.5255,0.0352,1131,at_risk,1,NORTHEAST
C000117,2026-06-30,375,2,284.45,127.57,0.2185,0.1025,0.3883,0.0574,646,at_risk,1,WEST
C000118,2026-06-30,23,3,283.9,92.28,0.2292,0.0515,0.2931,0.1607,2090,at_risk,0,MIDWEST
C000119,2026-06-30,16,7,592.11,105.36,0.1772,0.5025,0.6923,0.0483,444,growth,1,SOUTH
C000120,2026-06-30,32,15,1275.91,83.67,0.4189,0.4678,0.7909,0.0402,419,deal_seekers,1,NORTHEAST
C000121,2026-06-30,19,12,1127.93,83.19,0.7041,0.2529,0.658,0.0272,583,deal_seekers,1,MIDWEST
C000122,2026-06-30,32,14,712.75,51.16,0.6304,0.1755,0.826,0.0424,1624,deal_seekers,1,NORTHEAST
C000123,2026-06-30,7,17,1267.55,72.78,0.0868,0.7574,0.9016,0.0483,1286,champions,0,MIDWEST
C000124,2026-06-30,59,12,949.16,66.33,0.4235,0.4924,0.8595,0.1713,341,growth,1,SOUTH
C000125,2026-06-30,16,23,3395.62,125.89,0.1418,0.6489,0.9033,0.0435,1682,champions,1,NORTHEAST
C000126,2026-06-30,98,11,887.03,82.59,0.4794,0.2349,0.823,0.1857,398,growth,1,SOUTH
C000127,2026-06-30,31,12,2249.68,184.84,0.1836,0.4996,0.448,0.0738,1762,loyal,1,SOUTH
C000128,2026-06-30,40,14,799.5,65.26,0.0785,0.5221,0.7139,0.0465,843,loyal,1,NORTHEAST
C000129,2026-06-30,8,23,2271.69,113.54,0.1088,0.7887,0.7532,0.0521,2671,champions,1,MIDWEST
C000130,2026-06-30,22,6,392.51,65.56,0.4155,0.477,0.8507,0.1347,920,deal_seekers,1,MIDWEST
C000131,2026-06-30,48,6,429.7,82.03,0.124,0.7519,0.7209,0.1047,928,loyal,1,WEST
C000132,2026-06-30,86,1,42.92,43.57,0.4259,0.1006,0.3305,0.0538,907,dormant,0,MIDWEST
C000133,2026-06-30,31,13,770.76,61.27,0.6074,0.5691,0.7153,0.0921,1329,deal_seekers,1,SOUTH
C000134,2026-06-30,53,2,140.07,65.24,0.149,0.2699,0.6946,0.0757,206,growth,0,MIDWEST
C000135,2026-06-30,41,15,1011.61,63.22,0.5484,0.6261,0.6993,0.0714,941,deal_seekers,1,WEST
C000136,2026-06-30,9,13,1166.64,105.51,0.0948,0.6495,0.6894,0.0881,1431,champions,1,NORTHEAST
C000137,2026-06-30,109,0,0.0,34.56,0.2591,0.0127,0.3537,0.1134,1370,dormant,1,SOUTH
C000138,2026-06-30,10,7,668.03,86.62,0.2617,0.2047,0.7788,0.1035,418,growth,1,SOUTH
C000139,2026-06-30,63,8,745.7,97.38,0.3271,0.251,0.3394,0.0449,410,at_risk,1,NORTHEAST
C000140,2026-06-30,12,21,1615.21,69.98,0.0473,0.7726,0.7743,0.0033,1506,champions,1,SOUTH
C000141,2026-06-30,25,6,460.06,62.48,0.2392,0.3263,0.9664,0.0255,1172,growth,1,NORTHEAST
C000142,2026-06-30,56,9,688.64,75.76,0.2278,0.3913,0.7916,0.0299,142,growth,1,NORTHEAST
C000143,2026-06-30,326,5,351.18,60.73,0.5639,0.1628,0.2365,0.054,818,dormant,1,SOUTH
C000144,2026-06-30,60,8,575.05,67.01,0.531,0.435,0.8254,0.0712,1176,deal_seekers,1,SOUTH
C000145,2026-06-30,35,7,390.22,66.58,0.0988,0.3774,0.9132,0.0668,354,growth,1,NORTHEAST
C000146,2026-06-30,11,12,1142.94,79.54,0.101,0.5973,0.4091,0.059,1208,loyal,1,WEST
C000147,2026-06-30,106,12,860.9,83.06,0.3437,0.3535,0.8256,0.1796,445,growth,1,MIDWEST
C000148,2026-06-30,20,10,624.0,61.47,0.6348,0.5904,0.7666,0.0833,336,deal_seekers,1,WEST
C000149,2026-06-30,15,4,262.2,69.65,0.0819,0.3542,0.8402,0.0669,305,growth,1,NORTHEAST
C000150,2026-06-30,15,10,1478.9,137.47,0.134,0.708,0.7707,0.0583,973,champions,1,NORTHEAST
C000151,2026-06-30,107,2,133.75,84.25,0.2001,0.277,0.3271,0.114,714,at_risk,1,WEST
C000152,2026-06-30,493,4,316.43,75.93,0.3911,0.1701,0.4284,0.0294,951,dormant,1,MIDWEST
C000153,2026-06-30,14,11,1275.67,132.67,0.4592,0.5608,0.7736,0.0419,1773,loyal,1,NORTHEAST
C000154,2026-06-30,37,14,1351.08,79.12,0.8427,0.7263,0.6609,0.0674,1044,deal_seekers,1,SOUTH
C000155,2026-06-30,10,27,4750.13,177.71,0.1329,0.7194,0.7644,0.0056,362,champions,1,WEST
C000156,2026-06-30,45,8,936.12,106.11,0.6213,0.5159,0.7441,0.0702,338,deal_seekers,1,MIDWEST
C000157,2026-06-30,6,15,1750.69,121.48,0.1894,0.6063,0.6515,0.0068,1147,loyal,1,NORTHEAST
C000158,2026-06-30,19,10,754.25,73.72,0.7724,0.3399,0.6294,0.0269,494,deal_seekers,1,SOUTH
C000159,2026-06-30,176,6,530.24,103.0,0.3076,0.1987,0.4176,0.2191,976,at_risk,1,MIDWEST
C000160,2026-06-30,183,4,333.67,71.47,0.2105,0.237,0.5433,0.0616,1357,at_risk,1,SOUTH
C000161,2026-06-30,8,26,3313.3,128.36,0.1277,0.5469,0.7981,0.0102,1689,champions,1,SOUTH
C000162,2026-06-30,424,0,0.0,55.25,0.4264,0.1294,0.5469,0.1121,348,dormant,1,MIDWEST
C000163,2026-06-30,30,5,514.55,134.86,0.2409,0.5568,0.4467,0.0624,1158,loyal,1,WEST
C000164,2026-06-30,17,16,2526.0,127.17,0.1284,0.6769,0.7114,0.0237,660,champions,1,MIDWEST
C000165,2026-06-30,29,4,122.95,27.6,0.5402,0.2735,0.7734,0.0192,1213,deal_seekers,1,NORTHEAST
C000166,2026-06-30,30,5,330.22,70.33,0.2227,0.351,0.779,0.0183,550,growth,1,SOUTH
C000167,2026-06-30,98,4,383.51,98.66,0.2306,0.1251,0.3399,0.1484,1265,at_risk,1,NORTHEAST
C000168,2026-06-30,23,4,307.49,74.41,0.334,0.1559,0.181,0.0198,1729,at_risk,1,MIDWEST
C000169,2026-06-30,9,16,2129.0,119.58,0.2715,0.4662,0.7289,0.1567,1570,loyal,1,MIDWEST
C000170,2026-06-30,734,1,32.79,32.2,0.322,0.0258,0.328,0.021,1192,dormant,0,SOUTH
C000171,2026-06-30,39,13,1694.43,98.16,0.2963,0.2411,0.5881,0.0155,983,loyal,1,MIDWEST
C000172,2026-06-30,15,3,274.17,102.43,0.2118,0.4477,0.9044,0.0482,635,growth,1,NORTHEAST
C000173,2026-06-30,17,8,915.55,89.36,0.1838,0.3505,0.4521,0.0094,152,loyal,1,NORTHEAST
C000174,2026-06-30,323,3,124.29,49.18,0.2549,0.1296,0.3034,0.0247,732,dormant,1,SOUTH
C000175,2026-06-30,14,10,836.18,95.43,0.1538,0.3225,0.6133,0.0055,995,loyal,1,MIDWEST
C000176,2026-06-30,17,17,2805.78,140.07,0.0483,0.5786,0.7023,0.0004,927,champions,1,NORTHEAST
C000177,2026-06-30,64,7,383.85,53.34,0.4031,0.3676,0.7359,0.1075,695,growth,0,MIDWEST
C000178,2026-06-30,173,1,49.7,55.3,0.3645,0.2219,0.5274,0.0568,1218,dormant,1,MIDWEST
C000179,2026-06-30,94,2,94.34,42.92,0.3019,0.1259,0.2446,0.0613,876,dormant,1,SOUTH
C000180,2026-06-30,109,3,327.07,112.23,0.1878,0.3158,0.4881,0.0877,885,at_risk,1,SOUTH
C000181,2026-06-30,400,1,56.5,57.35,0.3371,0.0027,0.2984,0.0635,1148,dormant,1,MIDWEST
C000182,2026-06-30,65,3,166.59,50.62,0.3103,0.1105,0.2545,0.0106,960,dormant,1,WEST
C000183,2026-06-30,59,7,683.75,78.99,0.1785,0.5017,0.7776,0.0326,382,growth,1,SOUTH
C000184,2026-06-30,70,12,1160.81,98.48,0.2085,0.5082,0.458,0.0389,3075,loyal,1,MIDWEST
C000185,2026-06-30,46,1,83.73,95.6,0.1254,0.09,0.5393,0.0715,1220,at_risk,1,NORTHEAST
C000186,2026-06-30,10,14,820.33,55.46,0.7079,0.2164,0.7309,0.1425,397,deal_seekers,1,NORTHEAST
C000187,2026-06-30,25,3,321.55,93.64,0.2611,0.4898,0.7386,0.1958,610,growth,1,NORTHEAST
C000188,2026-06-30,3,19,2449.79,134.17,0.1009,0.7485,0.8113,0.0032,777,champions,1,MIDWEST
C000189,2026-06-30,49,3,207.04,62.72,0.4297,0.3,0.4185,0.0833,1083,at_risk,1,WEST
C000190,2026-06-30,3,13,2161.46,168.86,0.1151,0.6886,0.313,0.0167,1402,loyal,1,NORTHEAST
C000191,2026-06-30,220,1,46.7,48.29,0.174,0.0141,0.4801,0.0533,933,dormant,1,SOUTH
C000192,2026-06-30,52,18,2421.97,117.33,0.095,0.5601,0.4268,0.0133,1421,loyal,1,SOUTH
C000193,2026-06-30,6,17,1556.24,125.06,0.0631,0.8081,0.8163,0.0642,1060,champions,1,NORTHEAST
C000194,2026-06-30,96,1,109.97,115.96,0.1758,0.423,0.6214,0.0764,276,at_risk,1,MIDWEST
C000195,2026-06-30,25,9,1197.13,145.16,0.2085,0.5557,0.2928,0.0882,444,loyal,1,MIDWEST
C000196,2026-06-30,47,14,985.94,69.52,0.1326,0.5985,0.7115,0.0014,844,loyal,1,MIDWEST
C000197,2026-06-30,21,8,622.87,75.56,0.5499,0.341,0.706,0.0863,1049,deal_seekers,1,WEST
C000198,2026-06-30,28,1,49.02,46.53,0.2695,0.0391,0.3206,0.0588,623,dormant,0,SOUTH
C000199,2026-06-30,16,18,1743.3,93.75,0.0848,0.4838,0.4844,0.0062,2490,loyal,0,MIDWEST
C000200,2026-06-30,69,7,496.39,75.89,0.2558,0.4046,0.6588,0.0956,1128,loyal,1,SOUTH
C000201,2026-06-30,145,4,370.86,88.86,0.2038,0.1044,0.5451,0.0528,1589,at_risk,1,SOUTH
C000202,2026-06-30,63,2,138.55,76.25,0.4939,0.1358,0.1009,0.045,649,dormant,1,SOUTH
C000203,2026-06-30,56,7,442.34,62.64,0.1846,0.464,0.7399,0.0564,620,growth,1,MIDWEST
C000204,2026-06-30,21,12,2187.87,209.49,0.2815,0.3011,0.4678,0.0384,749,loyal,1,NORTHEAST
C000205,2026-06-30,3,21,3370.64,178.6,0.0728,0.5007,0.4158,0.0137,2071,champions,0,NORTHEAST
C000206,2026-06-30,20,9,1878.63,165.75,0.3086,0.7149,0.4155,0.0087,977,loyal,1,MIDWEST
C000207,2026-06-30,15,15,2568.15,163.81,0.1165,0.696,0.5011,0.0827,1185,loyal,1,NORTHEAST
C000208,2026-06-30,101,14,816.12,65.53,0.4213,0.4663,0.7532,0.0472,256,deal_seekers,1,WEST
C000209,2026-06-30,1,13,1637.33,106.32,0.0369,0.5845,0.76,0.0017,407,champions,1,SOUTH
C000210,2026-06-30,17,14,1088.74,81.53,0.1283,0.3505,0.8333,0.0328,139,growth,1,SOUTH
C000211,2026-06-30,17,13,644.78,48.97,0.5147,0.4572,0.583,0.2069,219,deal_seekers,1,MIDWEST
C000212,2026-06-30,26,6,503.33,79.56,0.6021,0.3676,0.7788,0.0463,448,deal_seekers,1,NORTHEAST
C000213,2026-06-30,8,18,2403.48,110.46,0.2765,0.5239,0.4765,0.0305,1456,loyal,0,WEST
C000214,2026-06-30,83,1,67.59,70.29,0.5146,0.3066,0.5546,0.1167,1201,at_risk,1,WEST
C000215,2026-06-30,158,1,68.3,88.09,0.1679,0.4498,0.7302,0.0105,1273,at_risk,1,SOUTH
C000216,2026-06-30,96,3,308.67,99.19,0.1028,0.1153,0.5813,0.0727,1133,at_risk,1,SOUTH
C000217,2026-06-30,75,11,948.33,104.57,0.224,0.4922,0.6556,0.0499,1729,loyal,1,SOUTH
C000218,2026-06-30,2,21,2043.88,96.86,0.0825,0.6785,0.6897,0.0575,2069,champions,1,MIDWEST
C000219,2026-06-30,215,3,229.28,74.29,0.3168,0.0832,0.0879,0.1681,488,dormant,1,SOUTH
C000220,2026-06-30,28,10,662.29,67.91,0.2546,0.4312,0.7721,0.0558,681,growth,1,MIDWEST
C000221,2026-06-30,35,11,1123.69,126.52,0.1515,0.3556,0.5624,0.0228,424,loyal,1,MIDWEST
C000222,2026-06-30,16,10,842.3,88.88,0.4174,0.3782,0.9489,0.2172,559,growth,1,WEST
C000223,2026-06-30,32,15,1356.29,82.68,0.6431,0.5921,0.758,0.0746,418,deal_seekers,1,MIDWEST
C000224,2026-06-30,469,0,0.0,74.33,0.2245,0.0255,0.3002,0.0564,1317,dormant,1,WEST
C000225,2026-06-30,22,13,1972.89,128.82,0.3126,0.5525,0.5635,0.0258,1160,loyal,1,MIDWEST
C000226,2026-06-30,102,1,60.87,54.67,0.3055,0.0381,0.1721,0.0146,1198,dormant,1,WEST
C000227,2026-06-30,7,21,2401.8,112.66,0.1434,0.6461,0.7391,0.0095,1209,champions,1,NORTHEAST
C000228,2026-06-30,117,5,329.48,76.09,0.5777,0.536,0.5865,0.0274,900,deal_seekers,1,SOUTH
C000229,2026-06-30,27,10,755.64,65.69,0.6183,0.3161,0.538,0.0622,381,deal_seekers,1,SOUTH
C000230,2026-06-30,4,20,2337.45,129.42,0.0859,0.718,0.8564,0.002,1835,champions,1,WEST
C000231,2026-06-30,22,13,1503.24,106.63,0.2564,0.5527,0.4491,0.0545,1476,loyal,1,SOUTH
C000232,2026-06-30,60,6,469.82,75.18,0.2816,0.6718,0.9191,0.0729,272,growth,1,WEST
C000233,2026-06-30,89,1,66.51,58.7,0.396,0.1632,0.5477,0.0836,1032,dormant,1,NORTHEAST
C000234,2026-06-30,46,7,451.36,68.17,0.5738,0.5439,0.6868,0.0446,1052,deal_seekers,1,WEST
C000235,2026-06-30,74,2,105.11,47.93,0.5208,0.0822,0.2456,0.007,2028,dormant,1,SOUTH
C000236,2026-06-30,217,6,743.07,158.6,0.3803,0.0935,0.2773,0.0737,702,at_risk,1,NORTHEAST
C000237,2026-06-30,23,5,334.42,69.17,0.2887,0.4659,0.7731,0.1218,501,growth,1,NORTHEAST
