customer_id,scoring_date,campaign_id,region,preferred_channel,loyalty_tier,customer_tenure_days,recency_days,orders_180d,spend_180d,average_order_value_180d,email_open_rate_90d,email_click_rate_90d,site_sessions_30d,prior_campaigns_12m,prior_campaign_responses_12m,days_since_last_campaign,discount_share_180d,margin_rate_180d,marketing_consent,contact_suppressed,responded_within_14d,response_order_value_14d,opened_current_campaign,clicked_current_campaign,response_probability_generator_only
HP001265,2026-05-01,RET-202605,SOUTH,SMS,PLUS,1903,21,1,73.2,62.03,0.2026,0.0345,2,11,0,65,0.3125,0.4053,1,0,0,0.0,0,0,0.041295
HP003495,2026-03-01,RET-202603,MIDWEST,EMAIL,PLUS,1281,8,6,186.85,31.78,0.1865,0.0537,2,8,2,79,0.467,0.4264,1,0,1,30.21,1,0,0.091646
HP002229,2026-05-01,RET-202605,MIDWEST,PUSH,PREMIUM,1396,21,6,177.73,28.6,0.6641,0.2861,4,6,1,62,0.1278,0.508,1,0,1,43.4,1,1,0.130914
HP003649,2026-07-01,RET-202607,WEST,SMS,PLUS,606,38,0,0.0,141.69,0.0816,0.0119,2,3,1,57,0.4737,0.3591,1,0,0,0.0,0,0,0.043894
HP005461,2026-08-01,RET-202608,MIDWEST,EMAIL,PREMIUM,1773,14,4,304.59,86.92,0.1373,0.0196,1,6,0,20,0.5156,0.4376,1,0,0,0.0,0,0,0.069159
HP004169,2026-06-01,RET-202606,NORTHEAST,EMAIL,STANDARD,2014,28,2,86.87,44.06,0.7105,0.2186,2,7,0,118,0.1438,0.4305,1,0,0,0.0,1,1,0.057518
HP004439,2025-09-01,RET-202509,MIDWEST,PUSH,STANDARD,1187,31,3,163.66,47.07,0.4427,0.0989,3,3,0,52,0.5398,0.3789,1,0,0,0.0,0,0,0.057892
HP002999,2026-04-01,RET-202604,WEST,EMAIL,PREMIUM,726,13,4,223.01,68.99,0.5676,0.1093,1,6,1,58,0.2634,0.453,1,0,0,0.0,1,0,0.094921
HP001287,2026-06-01,RET-202606,WEST,EMAIL,PLUS,2008,31,0,0.0,54.1,0.0553,0.0064,1,8,1,82,0.1318,0.4394,1,0,0,0.0,1,0,0.037218
HP005483,2026-06-01,RET-202606,WEST,EMAIL,STANDARD,460,33,3,250.93,64.7,0.166,0.0342,4,9,3,38,0.7318,0.3575,1,0,0,0.0,0,0,0.135529
HP003518,2026-02-01,RET-202602,WEST,EMAIL,STANDARD,1047,14,0,0.0,90.13,0.2694,0.0505,0,3,2,8,0.4059,0.4228,1,0,0,0.0,0,0,0.080564
HP004675,2026-07-01,RET-202607,NORTHEAST,EMAIL,PREMIUM,1620,10,7,644.75,82.49,0.6248,0.2847,3,3,1,73,0.4189,0.4705,1,0,0,0.0,0,0,0.331672
HP002641,2025-10-01,RET-202510,MIDWEST,EMAIL,PLUS,1744,29,3,121.38,44.69,0.2158,0.0283,0,2,0,52,0.288,0.4159,1,0,0,0.0,0,0,0.044044
HP001296,2026-01-01,RET-202601,NORTHEAST,PUSH,STANDARD,761,31,1,97.34,93.81,0.3381,0.0565,2,9,0,78,0.154,0.4835,1,0,0,0.0,1,0,0.039682
HP000355,2026-06-01,RET-202606,SOUTH,SMS,PREMIUM,1045,7,0,0.0,56.03,0.5163,0.187,4,4,0,36,0.2597,0.4312,1,0,0,0.0,1,0,0.088046
HP001663,2026-06-01,RET-202606,NORTHEAST,SMS,PLUS,840,25,4,276.59,58.21,0.1874,0.0441,5,11,1,49,0.5643,0.3998,1,0,0,0.0,0,0,0.059353
HP002520,2026-06-01,RET-202606,NORTHEAST,EMAIL,PLUS,639,29,2,200.91,88.11,,0.0017,1,3,0,68,0.5241,0.4718,1,0,0,0.0,0,0,0.042112
HP004803,2025-12-01,RET-202512,WEST,EMAIL,STANDARD,331,47,2,103.6,63.32,0.2073,0.0211,2,4,0,44,0.091,0.442,1,0,0,0.0,0,0,0.069724
HP003774,2026-06-01,RET-202606,WEST,EMAIL,PLUS,1755,23,5,216.84,46.49,0.4522,0.1547,5,2,1,73,0.5372,0.3958,1,0,0,0.0,0,0,0.117826
HP000994,2026-03-01,RET-202603,MIDWEST,SMS,PREMIUM,1143,71,0,0.0,48.65,0.037,0.0039,0,3,1,87,0.2015,0.4707,1,0,0,0.0,0,0,0.032415
HP000279,2026-04-01,RET-202604,NORTHEAST,EMAIL,STANDARD,997,50,0,0.0,63.07,0.1261,0.0267,1,5,1,23,0.8273,0.3793,1,0,0,0.0,0,0,0.044339
HP005694,2026-01-01,RET-202601,NORTHEAST,SMS,PLUS,1926,43,5,386.02,76.11,0.6781,0.2158,3,2,0,57,0.1132,0.4762,1,0,1,90.96,1,1,0.056026
HP005574,2026-02-01,RET-202602,WEST,EMAIL,STANDARD,2066,40,1,98.33,94.23,0.3088,0.0324,1,11,2,34,0.3522,0.4463,1,0,0,0.0,0,0,0.047164
HP000795,2026-02-01,RET-202602,NORTHEAST,EMAIL,PLUS,307,19,0,0.0,66.79,0.4011,0.0933,2,10,2,20,0.1945,0.4582,1,0,0,0.0,1,0,0.059522
HP000887,2025-12-01,RET-202512,MIDWEST,SMS,PREMIUM,735,18,3,128.79,42.66,0.3937,0.1244,0,12,2,3,0.2861,0.4168,1,0,0,0.0,0,0,0.042307
HP000069,2026-06-01,RET-202606,NORTHEAST,SMS,PLUS,888,14,0,0.0,91.88,0.2015,0.0412,0,2,0,52,0.5081,0.3846,1,0,0,0.0,1,0,0.037925
HP000555,2026-01-01,RET-202601,WEST,EMAIL,STANDARD,1583,48,3,128.86,43.92,0.572,0.2361,4,3,1,21,0.4257,0.4624,1,0,0,0.0,0,0,0.081073
HP001910,2026-03-01,RET-202603,MIDWEST,EMAIL,PLUS,1031,19,4,216.95,59.61,0.2288,0.0582,5,2,0,23,0.2403,0.4505,1,0,0,0.0,1,0,0.062004
HP004754,2026-08-01,RET-202608,NORTHEAST,EMAIL,PLUS,652,10,4,334.75,78.36,0.7043,0.2174,3,6,0,25,0.1325,0.4458,1,0,0,0.0,1,0,0.092616
HP005644,2026-05-01,RET-202605,NORTHEAST,PUSH,PLUS,459,4,2,75.8,43.92,0.2308,0.0557,4,4,0,128,0.3828,0.4399,1,0,1,47.1,1,0,0.057207
HP005970,2025-11-01,RET-202511,NORTHEAST,EMAIL,PREMIUM,1250,33,4,180.18,48.2,0.7176,0.3806,1,11,2,22,0.8307,0.3344,1,0,0,0.0,1,0,0.157949
HP001897,2026-04-01,RET-202604,NORTHEAST,EMAIL,PLUS,740,11,2,105.83,56.78,0.431,0.171,3,12,4,12,0.7849,0.3328,1,0,0,0.0,0,0,0.061904
HP001544,2026-05-01,RET-202605,SOUTH,EMAIL,PLUS,1393,16,4,361.96,78.37,0.4818,0.1452,5,3,0,77,0.8286,0.3209,1,0,0,0.0,1,0,0.157138
HP003379,2026-05-01,RET-202605,SOUTH,EMAIL,PLUS,702,5,2,194.09,98.05,0.5225,0.1804,2,7,2,54,0.4549,0.4106,1,0,0,0.0,0,0,0.114256
HP005223,2025-12-01,RET-202512,MIDWEST,EMAIL,STANDARD,879,7,1,127.44,126.71,0.2144,0.0403,0,6,1,74,0.2457,0.4327,1,0,0,0.0,0,0,0.069161
HP000275,2025-10-01,RET-202510,MIDWEST,SMS,STANDARD,1140,24,2,101.97,47.67,0.3019,0.0728,3,3,0,57,0.1102,0.445,1,0,0,0.0,0,0,0.047434
HP001671,2025-12-01,RET-202512,MIDWEST,EMAIL,PLUS,1571,23,5,364.69,65.52,0.4824,0.1648,3,7,0,154,0.4604,0.4426,1,0,0,0.0,0,0,0.096391
HP002715,2026-01-01,RET-202601,NORTHEAST,EMAIL,PREMIUM,1520,13,10,1084.72,105.12,0.8287,0.3002,0,4,1,14,0.6543,0.3628,1,0,0,0.0,1,0,0.352162
HP005504,2026-04-01,RET-202604,NORTHEAST,SMS,STANDARD,634,30,2,150.87,71.72,0.0908,0.0092,2,9,1,23,0.6912,0.3509,1,0,0,0.0,0,0,0.047913
HP003803,2026-05-01,RET-202605,WEST,EMAIL,PREMIUM,1912,7,2,181.52,86.4,0.1134,0.0128,1,3,0,112,0.4376,0.3962,1,0,0,0.0,0,0,0.066527
HP005659,2026-02-01,RET-202602,SOUTH,PUSH,PLUS,1217,31,0,0.0,87.79,0.0863,0.0306,0,9,4,26,0.8597,0.3571,1,0,0,0.0,1,0,0.05435
HP002443,2026-05-01,RET-202605,NORTHEAST,SMS,PREMIUM,1864,9,3,185.09,61.26,0.8251,0.4666,3,12,3,12,0.4776,0.4011,1,0,0,0.0,1,0,0.086976
HP001603,2025-12-01,RET-202512,SOUTH,EMAIL,PREMIUM,748,18,3,381.43,137.52,0.2102,0.0598,5,5,0,30,0.3911,0.4289,1,0,0,0.0,0,0,0.100042
HP001253,2026-05-01,RET-202605,NORTHEAST,EMAIL,STANDARD,1070,16,3,162.73,64.26,0.8166,0.2595,2,6,0,33,0.5468,0.3998,1,0,0,0.0,1,1,0.101185
HP003350,2026-02-01,RET-202602,WEST,EMAIL,PLUS,520,34,2,101.0,56.21,0.119,0.0165,3,3,0,117,0.2036,0.4485,1,0,0,0.0,1,0,0.042959
HP002026,2026-04-01,RET-202604,WEST,EMAIL,PLUS,1010,39,3,158.88,62.22,0.0698,0.005,0,5,1,57,0.4224,0.4685,1,0,0,0.0,0,0,0.04377
HP001550,2026-06-01,RET-202606,WEST,SMS,PREMIUM,1461,11,6,397.25,75.35,0.557,0.2535,3,9,1,63,0.4661,0.4218,1,0,0,0.0,0,0,0.137616
HP002508,2026-06-01,RET-202606,WEST,SMS,STANDARD,345,21,1,78.01,67.91,0.1957,0.0462,2,10,0,64,0.3292,0.4516,1,0,0,0.0,0,0,0.04131
HP003444,2025-10-01,RET-202510,NORTHEAST,SMS,STANDARD,1899,128,0,0.0,44.61,0.0783,0.0057,0,8,0,18,0.1276,0.4898,1,0,0,0.0,0,0,0.011323
HP003658,2026-08-01,RET-202608,WEST,EMAIL,STANDARD,881,27,2,260.79,130.1,0.3565,0.097,1,6,0,49,0.5389,0.4448,1,0,0,0.0,1,0,0.050298
HP001292,2026-08-01,RET-202608,SOUTH,EMAIL,PLUS,1838,17,2,67.35,38.83,0.051,0.0058,1,12,1,98,0.145,0.4703,1,0,0,0.0,0,0,0.044555
HP002936,2026-07-01,RET-202607,WEST,EMAIL,PLUS,575,55,0,0.0,90.16,0.5284,0.1686,2,4,2,82,0.476,0.4335,1,0,0,0.0,1,0,0.062946
HP003545,2026-06-01,RET-202606,NORTHEAST,PUSH,PLUS,371,13,1,74.79,63.63,0.1704,0.0389,6,10,0,10,0.2158,0.4512,1,0,0,0.0,0,0,0.022355
HP001924,2026-02-01,RET-202602,SOUTH,EMAIL,PLUS,913,24,3,234.79,77.74,0.4152,0.1191,3,12,3,51,0.2532,0.4594,1,0,0,0.0,0,0,0.074792
HP001787,2026-04-01,RET-202604,WEST,PUSH,PLUS,1753,53,2,160.61,57.27,0.0723,0.0189,1,7,0,22,0.7975,0.3627,1,0,0,0.0,0,0,0.034414
HP003094,2025-09-01,RET-202509,MIDWEST,PUSH,PLUS,1245,50,1,40.69,51.85,0.7261,0.1339,3,8,2,17,0.3091,0.4488,1,0,0,0.0,1,0,0.056729
HP003323,2025-09-01,RET-202509,SOUTH,EMAIL,STANDARD,192,16,0,0.0,27.7,0.223,0.0539,2,7,1,7,0.6478,0.4206,1,0,0,0.0,1,0,0.06563
HP001764,2026-03-01,RET-202603,MIDWEST,EMAIL,PREMIUM,294,9,6,574.14,98.24,0.7344,0.286,2,8,0,26,0.218,0.4549,1,0,0,0.0,1,1,0.253488
HP004604,2026-06-01,RET-202606,NORTHEAST,EMAIL,PREMIUM,2149,6,8,560.35,65.24,0.5228,0.2079,6,2,1,23,0.1568,0.5011,1,0,0,0.0,0,0,0.368942
HP001053,2026-04-01,RET-202604,SOUTH,EMAIL,STANDARD,1667,28,0,0.0,95.73,0.2633,0.1012,1,10,0,62,0.4669,0.4041,1,0,0,0.0,0,0,0.044867
HP005151,2025-10-01,RET-202510,MIDWEST,PUSH,STANDARD,1379,14,1,43.85,43.85,0.1954,0.0376,0,5,0,16,0.3707,0.4264,1,0,0,0.0,1,0,0.041955
HP001626,2026-03-01,RET-202603,SOUTH,PUSH,PREMIUM,1211,15,1,74.67,77.56,0.0682,0.0061,1,10,1,32,0.3157,0.4,1,0,0,0.0,0,0,0.055347
HP004112,2026-05-01,RET-202605,WEST,SMS,PLUS,2029,7,3,202.49,70.12,0.4161,0.1063,3,4,0,47,0.2356,0.4262,1,0,0,0.0,1,0,0.059682
HP004047,2026-07-01,RET-202607,SOUTH,EMAIL,STANDARD,1896,15,3,159.99,50.41,0.112,0.0168,2,10,2,96,0.6775,0.4012,1,0,0,0.0,0,0,0.12679
HP002635,2025-10-01,RET-202510,NORTHEAST,EMAIL,PLUS,1021,8,2,107.27,55.31,0.2897,0.0694,2,3,1,49,0.3637,0.4456,1,0,0,0.0,0,0,0.086259
HP000204,2025-09-01,RET-202509,NORTHEAST,PUSH,PREMIUM,512,13,4,316.85,75.61,0.6209,0.1677,3,2,0,33,0.323,0.4615,1,0,0,0.0,0,0,0.113569
HP001372,2026-07-01,RET-202607,WEST,PUSH,PREMIUM,1829,13,2,166.67,,0.5075,0.1608,2,9,1,84,0.3685,0.4126,1,0,1,84.82,0,0,0.095387
HP000833,2026-03-01,RET-202603,MIDWEST,PUSH,STANDARD,841,7,2,82.64,39.79,0.211,0.0397,1,8,1,36,0.3892,0.4123,1,0,1,51.72,0,0,0.056242
HP001483,2025-12-01,RET-202512,WEST,EMAIL,PLUS,1749,11,5,300.28,74.36,0.3245,0.0987,5,4,1,53,0.8172,0.3375,1,0,0,0.0,0,0,0.330496
HP001888,2025-12-01,RET-202512,MIDWEST,EMAIL,PLUS,1548,31,6,407.49,77.85,0.8177,0.288,1,12,2,19,0.3933,0.4092,1,0,0,0.0,1,0,0.118854
HP004282,2026-03-01,RET-202603,NORTHEAST,SMS,STANDARD,1961,11,0,0.0,73.75,0.7192,0.4176,6,3,0,88,0.8897,0.354,1,0,0,0.0,0,0,0.201076
HP005017,2026-05-01,RET-202605,WEST,EMAIL,PREMIUM,1875,5,3,172.64,50.64,,0.0835,2,12,2,48,0.8182,0.3332,1,0,0,0.0,0,0,0.189013
HP003391,2025-12-01,RET-202512,WEST,EMAIL,PLUS,785,18,0,0.0,65.42,0.2386,0.0415,4,6,1,67,0.3558,0.4361,1,0,0,0.0,0,0,0.112195
HP005127,2026-08-01,RET-202608,SOUTH,EMAIL,PLUS,1727,30,3,265.39,93.66,0.1345,0.0418,1,9,0,23,0.8284,0.3914,1,0,0,0.0,0,0,0.050639
HP002426,2025-11-01,RET-202511,WEST,EMAIL,STANDARD,392,12,4,97.88,27.18,0.4425,0.1398,4,7,3,33,0.3181,0.4524,1,0,0,0.0,0,0,0.198777
HP002909,2026-08-01,RET-202608,WEST,PUSH,STANDARD,1276,27,3,109.63,43.22,0.2707,0.0664,3,10,1,25,0.8063,0.3833,1,0,0,0.0,0,0,0.058107
HP001530,2025-09-01,RET-202509,NORTHEAST,PUSH,PLUS,1492,9,3,221.98,74.56,0.4922,0.185,7,7,2,54,0.7026,0.4161,1,0,0,0.0,1,1,0.240263
HP005531,2025-09-01,RET-202509,WEST,EMAIL,STANDARD,1682,54,1,98.69,100.65,0.2464,0.0405,3,6,0,49,0.1148,0.4422,1,0,0,0.0,0,0,0.036801
HP002014,2026-04-01,RET-202604,WEST,SMS,PLUS,403,51,1,58.09,60.26,0.2277,0.0342,0,4,0,46,0.4517,0.4388,1,0,0,0.0,0,0,0.028206
HP002195,2025-12-01,RET-202512,WEST,EMAIL,STANDARD,2008,53,2,136.73,72.15,0.3688,0.0838,3,8,0,25,0.6078,0.4091,1,0,0,0.0,0,0,0.088216
HP002592,2026-02-01,RET-202602,NORTHEAST,PUSH,PREMIUM,339,7,4,367.63,88.98,0.1667,0.0447,4,9,0,23,0.5165,0.4639,1,0,0,0.0,1,0,0.081058
HP003503,2025-12-01,RET-202512,WEST,EMAIL,PREMIUM,366,22,2,104.61,51.56,0.2227,0.0686,2,11,2,69,0.7169,0.3278,1,0,0,0.0,1,0,0.270608
HP000041,2026-05-01,RET-202605,SOUTH,SMS,PLUS,2012,22,2,42.92,22.16,0.3791,0.1436,3,2,0,67,0.5134,0.4349,1,0,0,0.0,1,0,0.054734
HP002020,2025-11-01,RET-202511,WEST,EMAIL,PLUS,1873,16,2,101.75,47.27,0.5588,0.1308,2,5,0,49,0.2661,0.4726,1,0,0,0.0,1,0,0.118547
HP005818,2025-12-01,RET-202512,SOUTH,EMAIL,PLUS,1036,25,1,61.24,60.45,0.3386,0.0874,5,8,1,27,0.2494,0.4239,1,0,0,0.0,1,0,0.077098
HP004295,2026-01-01,RET-202601,WEST,EMAIL,PLUS,647,16,4,187.5,49.66,0.6866,0.3297,2,8,5,128,0.9007,0.325,1,0,0,0.0,0,0,0.338885
HP004394,2026-06-01,RET-202606,MIDWEST,EMAIL,PREMIUM,1883,10,7,713.25,111.92,0.5842,0.3418,5,4,2,43,0.2845,0.4995,1,0,1,108.36,1,1,0.381436
HP003818,2026-05-01,RET-202605,MIDWEST,PUSH,STANDARD,1032,31,4,448.04,76.15,0.1342,0.032,1,2,0,72,0.6971,0.4083,1,0,0,0.0,0,0,0.087819
