customer_id,scoring_date,country,device_type,customer_tenure_days,customer_value_tier,days_since_last_transaction,transactions_7d,transactions_30d,transactions_60d,active_days_30d,payment_volume_30d_usd,avg_transaction_value_30d,transaction_count_change_30d_vs_prior30d,payment_volume_change_30d_vs_prior30d,failed_transactions_30d,support_contacts_30d,login_days_30d,products_used_60d,marketing_engagement_30d,inactive_next_30d,transactions_next_30d,future_inactivity_status,retention_case_opened_after_score
PW010207,2026-05-04,BR,Mobile,874,Low,14,0,0,4,1,70.53,79.83,-1.0,0.2325,0,0,0,1,0.1714,0,2,Active,0
PW004596,2026-08-03,BR,Mobile,431,Low,12,0,0,1,1,41.71,40.23,-1.0,-0.6034,0,1,0,1,0.0226,0,1,Active,1
PW008361,2026-04-06,CR,Mobile,533,Medium,8,1,2,3,2,168.54,84.51,0.0,-0.1002,0,1,5,1,0.509,0,1,Active,0
PW018825,2026-06-01,US,Desktop,1133,Medium,33,0,3,4,2,455.18,103.72,0.0,-0.0286,0,0,0,1,0.0078,1,0,Inactive,1
PW003858,2026-07-06,US,Mobile,1916,Medium,27,0,3,6,3,190.75,65.04,0.0,-0.0544,1,1,3,2,0.0393,1,0,Inactive,1
PW014039,2026-02-02,CR,Mobile,540,Medium,35,0,0,1,1,44.23,60.63,-1.0,0.0386,1,0,5,1,0.0268,1,0,Inactive,1
PW003041,2026-06-01,US,Mobile,390,Low,10,0,1,2,1,40.95,24.3,0.0,-0.0849,0,0,9,1,0.7654,0,2,Active,0
PW028727,2026-02-02,CR,Mobile,1065,Low,7,0,0,5,1,31.36,30.16,-1.0,0.1522,1,1,1,1,0.1585,1,0,Inactive,0
PW004462,2026-01-05,US,Mobile,1122,Medium,60,0,3,4,2,149.07,52.98,-0.4,-0.0411,1,0,6,2,0.0029,1,0,Inactive,0
PW027257,2026-08-03,MX,Desktop,1896,Low,10,0,2,4,2,47.2,26.74,0.0,0.0913,2,0,4,2,0.4368,0,5,Active,0
PW018849,2026-06-01,CR,Mobile,1888,Low,29,1,1,1,1,55.35,59.49,0.0,0.109,0,0,3,2,0.1523,0,1,Active,0
PW026478,2026-06-01,US,Mobile,1504,Medium,16,0,1,2,1,86.09,77.15,0.0,-0.4444,0,1,4,2,0.0984,0,1,Active,0
PW020283,2026-08-03,US,Mobile,454,Medium,37,0,1,4,1,108.68,125.18,0.0,-0.4869,0,0,0,2,0.0193,1,0,Inactive,1
PW018100,2026-02-02,US,Mobile,451,Medium,34,0,2,6,2,60.42,29.18,-0.3333,-0.457,0,1,0,1,0.0023,1,0,Inactive,1
PW023811,2026-02-02,US,Desktop,943,Medium,6,0,0,1,1,60.95,62.48,-1.0,,0,1,8,1,0.3632,1,0,Inactive,0
PW018769,2026-07-06,US,Mobile,362,Low,9,0,0,5,1,45.35,46.81,-1.0,-0.5777,0,0,0,1,,1,0,Inactive,0
PW008899,2026-08-03,MX,Mobile,1345,High,11,0,3,5,3,820.99,227.67,-0.25,-0.3909,2,0,0,2,0.5549,0,6,Active,0
PW010436,2026-03-02,US,Desktop,473,Low,29,0,1,5,1,31.26,27.51,0.0,-0.0708,1,1,0,1,0.0367,1,0,Inactive,1
PW003025,2026-05-04,BR,Mobile,1119,Medium,5,0,0,1,1,66.29,95.38,-1.0,0.3046,1,0,6,2,0.4684,0,1,Active,0
PW023359,2026-05-04,US,Mobile,1642,Medium,8,1,3,6,3,552.4,145.9,0.5,0.3046,0,0,15,2,0.8739,0,4,Active,0
PW003140,2026-07-06,MX,Desktop,540,Low,8,0,3,4,2,96.87,44.0,0.0,-0.1769,1,0,6,1,0.345,0,1,Active,0
PW008796,2026-07-06,CR,Mobile,571,Low,29,0,1,1,1,29.69,31.81,0.0,-0.2447,0,1,0,1,0.0289,1,0,Inactive,1
PW029837,2026-07-06,BR,Desktop,703,Medium,3,1,4,4,4,185.76,40.36,0.0,-0.2192,0,0,10,1,,0,3,Active,0
PW000627,2026-07-06,US,Mobile,1841,Low,24,1,2,2,2,102.86,40.62,0.0,-0.2946,1,0,3,2,,0,2,Active,0
PW026680,2026-04-06,US,Desktop,1631,Medium,11,2,5,6,4,293.76,68.03,0.25,0.0537,0,1,7,2,0.7169,0,3,Active,0
PW005848,2026-06-01,US,Mobile,331,Low,11,0,1,2,1,11.65,10.25,0.0,0.165,1,0,5,1,0.5919,0,3,Active,0
PW020630,2026-08-03,US,Mobile,497,Low,120,0,0,1,1,21.63,22.17,-1.0,-0.1831,2,0,0,1,0.0,1,0,Inactive,0
PW008166,2026-03-02,CR,Desktop,881,Low,15,0,2,2,2,131.78,53.95,0.0,0.3465,0,0,4,1,0.2326,0,1,Active,0
PW011539,2026-01-05,US,Mobile,868,High,9,0,6,11,3,401.24,38.83,0.0,0.288,1,1,13,3,0.9453,0,5,Active,0
PW014010,2026-07-06,US,Desktop,986,Medium,14,0,2,7,1,108.95,43.56,0.0,-0.0859,2,1,5,2,0.2757,0,2,Active,0
PW009681,2026-04-06,US,Mobile,1753,Medium,10,1,1,5,1,67.6,65.37,0.0,-0.1663,0,0,5,2,0.7317,0,2,Active,0
PW007995,2026-04-06,BR,Desktop,1872,Low,3,0,0,2,1,35.73,36.89,-1.0,-0.0032,2,1,5,1,0.2378,0,1,Active,0
PW004046,2026-02-02,US,Mobile,963,Medium,11,0,4,8,3,97.28,22.67,0.0,-0.2398,0,0,3,3,0.305,0,2,Active,0
PW027463,2026-03-02,BR,Mobile,1208,Medium,11,0,2,5,2,85.03,42.21,0.0,0.1148,0,1,2,2,0.4087,0,4,Active,0
PW001778,2026-03-02,BR,Mobile,807,Medium,14,2,4,8,4,123.21,41.99,0.0,0.1528,0,0,8,2,0.4608,0,4,Active,0
PW020789,2026-08-03,MX,Mobile,1115,Low,6,0,1,1,1,35.42,46.3,0.0,-0.1798,0,0,0,2,0.1588,0,1,Active,0
PW029503,2026-06-01,US,Mobile,233,Low,5,0,0,2,1,17.05,15.45,-1.0,-0.1593,2,0,0,1,0.0139,1,0,Inactive,1
PW022912,2026-05-04,BR,Mobile,1517,Medium,2,0,0,3,1,125.66,126.66,-1.0,-0.3658,0,0,6,1,0.2576,0,1,Active,1
PW022641,2026-04-06,US,Mobile,1771,Medium,31,0,1,3,1,20.8,27.33,0.0,-0.3051,1,1,0,1,,1,0,Inactive,1
PW028749,2026-06-01,US,Mobile,625,Low,10,0,1,2,1,68.6,60.3,0.0,-0.1331,0,1,0,1,0.1102,0,1,Active,0
PW009669,2026-07-06,US,Desktop,939,Medium,6,0,5,8,4,196.94,33.55,0.0,0.1296,0,0,12,4,0.9389,0,2,Active,0
PW022049,2026-06-01,US,Mobile,1899,Low,20,0,0,1,1,30.41,20.72,-1.0,-0.2608,0,0,6,1,0.4954,1,0,Inactive,1
PW016681,2026-03-02,US,Mobile,170,Medium,23,0,4,6,4,240.68,70.65,-0.2,0.2545,2,0,1,2,0.1162,0,4,Active,1
PW006863,2026-02-02,US,Desktop,1071,Medium,14,0,2,2,2,119.47,66.19,0.0,0.195,2,0,5,1,0.3959,0,2,Active,0
PW008305,2026-07-06,BR,Mobile,351,Medium,20,0,1,7,1,66.19,59.65,0.0,-0.3147,1,0,2,2,0.1367,1,0,Inactive,0
PW004907,2026-06-01,MX,Mobile,1648,Low,22,0,0,2,1,22.05,24.89,-1.0,-0.4658,1,0,0,1,0.0053,1,0,Inactive,1
PW019845,2026-08-03,BR,Mobile,471,Low,25,0,2,3,2,138.27,67.94,-0.5,-0.3918,0,0,0,2,0.0165,0,1,Active,0
PW016306,2026-01-05,US,Mobile,164,Medium,15,1,4,6,3,331.98,67.32,0.3333,0.2885,2,1,7,1,0.5757,1,0,Inactive,1
PW019041,2026-03-02,US,Mobile,1788,High,15,3,6,6,5,728.61,81.73,0.2,-0.1147,3,0,0,4,,0,1,Active,0
PW014167,2026-02-02,BR,Mobile,783,Medium,9,0,0,4,1,45.5,53.82,-1.0,-0.4082,1,0,0,1,0.2975,0,2,Active,0
PW010460,2026-03-02,US,Mobile,978,Medium,36,1,2,4,2,244.14,122.41,0.0,0.0028,2,1,1,2,0.0396,0,5,Active,0
PW015702,2026-03-02,MX,Mobile,984,Low,10,0,2,6,2,29.06,20.46,0.0,0.2251,0,1,4,1,0.5183,0,2,Active,0
PW011971,2026-06-01,US,Desktop,503,Low,9,1,3,5,3,110.59,41.52,0.5,-0.2025,1,0,7,2,0.6533,0,3,Active,0
PW008098,2026-03-02,US,Mobile,166,Low,20,0,0,3,1,49.83,51.08,-1.0,-0.0446,0,0,6,3,,0,2,Active,0
PW001145,2026-07-06,US,Mobile,822,Low,10,0,2,3,2,53.97,29.38,-0.3333,0.0618,2,0,1,1,0.2436,0,3,Active,0
PW019106,2026-08-03,US,Desktop,1557,Low,4,0,1,4,1,54.04,58.34,0.0,-0.381,0,0,11,1,0.9212,0,1,Active,0
PW011522,2026-03-02,US,Mobile,1393,Low,9,0,0,2,1,25.07,28.02,-1.0,0.0407,0,0,6,1,0.4744,0,1,Active,0
PW000988,2026-06-01,US,Mobile,1561,Low,19,0,1,1,1,12.62,19.65,0.0,0.0192,1,2,2,1,0.2569,1,0,Inactive,1
PW028131,2026-03-02,BR,Mobile,1207,High,43,1,3,5,2,495.72,138.16,-0.4,-0.1535,2,0,9,3,0.0833,1,0,Inactive,1
PW011717,2026-06-01,MX,Mobile,978,Medium,7,0,0,2,1,38.53,45.62,-1.0,-0.0671,1,0,0,2,0.3256,0,1,Active,0
PW026514,2026-01-05,US,Mobile,802,Low,14,0,1,3,1,33.45,33.25,0.0,-0.081,0,0,5,1,0.2469,0,2,Active,0
PW026606,2026-05-04,US,Mobile,839,Medium,24,0,2,5,2,76.7,39.02,-0.3333,-0.0949,0,0,3,2,0.0339,0,1,Active,0
PW025728,2026-05-04,US,Desktop,1803,Medium,10,0,2,4,2,87.81,29.46,-0.5,-0.4103,0,0,0,1,0.0165,0,1,Active,0
PW021435,2026-01-05,US,Mobile,108,Medium,19,0,3,4,3,137.27,49.37,-0.25,0.2101,1,0,10,2,0.7006,0,3,Active,1
PW013433,2026-05-04,US,Mobile,1578,Medium,6,1,1,4,1,31.86,45.41,0.0,-0.1121,0,0,9,3,0.9209,0,2,Active,0
PW022141,2026-03-02,BR,Mobile,1680,Low,13,0,3,4,3,96.68,33.81,0.0,-0.329,2,0,4,2,0.4369,1,0,Inactive,1
PW001010,2026-04-06,BR,Mobile,1457,Medium,9,0,3,6,3,185.03,90.01,0.0,-0.3113,1,0,4,2,0.8794,0,4,Active,0
PW001840,2026-05-04,US,Desktop,1143,Medium,1,0,4,6,3,126.09,40.67,-0.2,0.0163,0,0,6,3,0.8415,0,2,Active,0
PW024289,2026-01-05,MX,Mobile,891,Medium,13,1,4,7,4,229.11,60.43,0.0,-0.3205,0,0,7,1,0.3195,0,2,Active,0
PW029887,2026-01-05,MX,Mobile,552,Low,3,1,1,2,1,18.81,20.95,0.0,-0.3987,0,0,4,3,0.7696,0,6,Active,0
PW004961,2026-07-06,CR,Mobile,429,Low,20,0,0,3,1,45.97,36.26,-1.0,-0.0005,0,0,1,1,0.0192,0,2,Active,0
PW018523,2026-03-02,US,Mobile,1106,Low,23,1,1,2,1,28.3,32.08,-0.5,-0.2148,1,0,4,1,0.1286,1,0,Inactive,0
PW012318,2026-02-02,BR,Mobile,1205,Medium,9,1,2,6,2,146.85,56.76,0.0,0.3128,2,0,4,3,0.9051,0,3,Active,0
PW007684,2026-06-01,BR,Mobile,787,Medium,31,0,1,1,1,105.17,102.54,0.0,0.0265,2,0,4,1,0.0403,1,0,Inactive,0
PW004051,2026-01-05,US,Desktop,745,Medium,5,2,4,4,3,316.26,63.41,0.3333,0.0472,3,0,8,1,0.7155,0,1,Active,0
PW013901,2026-08-03,BR,Mobile,1160,Low,22,0,0,1,1,45.33,44.88,-1.0,0.2243,0,2,5,1,0.2665,0,3,Active,0
PW024203,2026-07-06,MX,Mobile,309,Medium,17,0,0,2,1,99.98,90.26,-1.0,-0.5427,1,0,7,2,0.1074,1,0,Inactive,1
PW002089,2026-08-03,US,Desktop,630,Low,18,0,0,1,1,95.51,100.61,-1.0,-0.0806,0,0,0,1,0.0308,0,4,Active,0
PW003155,2026-03-02,US,Desktop,1831,Low,14,0,1,2,1,59.51,51.13,0.0,-0.1222,1,0,5,2,0.4647,0,1,Active,0
PW017495,2026-08-03,US,Mobile,1582,Medium,14,0,1,5,1,235.45,266.75,0.0,-0.3761,1,0,2,2,0.0972,0,2,Active,1
PW004329,2026-07-06,US,Desktop,881,Low,8,1,3,4,2,73.82,19.14,0.0,0.06,0,0,7,1,0.6035,0,1,Active,0
PW022902,2026-07-06,CR,Mobile,762,Low,2,0,1,2,1,32.62,29.23,0.0,-0.3871,2,0,6,1,0.3545,0,1,Active,0
PW024656,2026-05-04,US,Desktop,842,Medium,14,0,1,4,1,76.55,79.48,0.0,-0.186,0,0,6,1,0.2546,0,1,Active,0
PW006193,2026-03-02,CR,Mobile,1762,Medium,30,0,2,3,2,239.2,118.87,0.0,-0.0606,1,0,7,1,0.3402,0,2,Active,0
PW018131,2026-06-01,US,Mobile,1438,Low,3,2,3,4,2,45.5,17.09,0.0,-0.0879,1,0,12,2,0.8327,1,0,Inactive,0
PW001144,2026-04-06,MX,Mobile,554,Medium,3,0,4,9,4,383.02,90.24,0.0,0.1568,1,0,9,3,,0,1,Active,0
PW017803,2026-01-05,BR,Mobile,1561,Medium,17,0,0,3,1,38.3,47.47,-1.0,-0.0951,0,0,4,2,0.0606,0,4,Active,0
PW028668,2026-07-06,MX,Mobile,635,Low,5,0,1,2,1,51.29,40.8,-0.5,-0.4135,0,0,0,2,0.1773,0,1,Active,0
PW015408,2026-05-04,CR,Mobile,388,Low,5,0,1,6,1,17.0,15.64,0.0,0.1978,0,0,5,2,0.7109,0,2,Active,0
PW017056,2026-03-02,MX,Mobile,1766,Medium,16,0,0,5,1,53.69,40.06,-1.0,-0.025,1,0,1,2,0.0502,1,0,Inactive,1
PW010565,2026-07-06,CR,Mobile,928,Medium,19,1,4,6,3,154.51,43.39,0.3333,-0.0006,1,0,10,3,0.7656,0,2,Active,0
PW026336,2026-04-06,US,Mobile,398,Medium,16,3,7,9,6,309.86,63.12,0.0,0.0971,0,0,4,1,0.4229,0,6,Active,0
PW026426,2026-08-03,US,Mobile,1286,Medium,2,1,1,5,1,21.06,26.37,0.0,-0.2109,0,0,6,3,0.735,0,5,Active,0
PW001713,2026-06-01,MX,Mobile,732,Low,5,1,2,5,2,50.04,38.12,0.0,0.4221,0,0,11,1,0.9296,0,1,Active,0
PW015218,2026-07-06,CR,Mobile,1690,Low,18,0,0,1,1,27.68,32.56,-1.0,-0.0549,1,0,0,1,,0,2,Active,0
PW011592,2026-03-02,US,Desktop,964,Medium,24,0,2,4,1,162.32,65.96,0.0,-0.2684,0,0,8,2,0.1606,0,2,Active,0
PW010019,2026-07-06,CR,Mobile,1456,Low,3,0,1,3,1,21.59,26.48,0.0,,1,0,5,1,0.7728,0,1,Active,0
PW004656,2026-04-06,US,Mobile,1063,Medium,24,0,0,4,1,38.23,38.2,-1.0,-0.0985,0,0,3,1,0.052,0,1,Active,0
PW008549,2026-04-06,US,Mobile,1124,Low,8,0,0,4,1,19.07,17.79,-1.0,0.2323,0,0,3,2,0.4936,0,2,Active,0
PW000679,2026-05-04,BR,Mobile,534,Medium,14,2,4,6,2,107.65,23.82,-0.2,-0.164,1,2,5,3,0.6137,0,2,Active,0
PW010634,2026-02-02,BR,Mobile,1380,Medium,12,0,2,8,2,120.34,66.27,0.0,-0.2108,1,0,9,3,,0,1,Active,0
PW029501,2026-08-03,US,Mobile,802,Medium,8,0,0,2,1,63.55,53.88,-1.0,-0.0645,0,0,8,2,0.6152,0,1,Active,0
PW022321,2026-04-06,BR,Mobile,1364,Medium,10,0,1,4,1,26.5,28.38,-0.5,0.1282,1,0,4,2,0.1215,0,1,Active,0
PW021617,2026-02-02,MX,Desktop,909,Low,13,0,0,2,1,25.06,22.8,-1.0,-0.3686,0,0,3,1,0.1062,0,1,Active,0
PW018216,2026-04-06,US,Desktop,235,Medium,8,1,2,4,1,62.12,29.8,-0.3333,-0.0162,1,0,1,2,0.4625,0,2,Active,0
PW011356,2026-01-05,US,Mobile,564,Medium,50,1,5,5,3,365.44,73.52,0.0,0.2372,0,0,2,2,0.0054,1,0,Inactive,1
PW029998,2026-01-05,US,Mobile,1492,Medium,21,1,4,6,2,133.71,32.16,-0.2,-0.1995,0,0,1,2,0.0959,1,0,Inactive,1
PW014536,2026-06-01,US,Mobile,1758,Low,4,0,0,1,1,27.85,28.06,-1.0,0.3829,1,1,1,1,0.4576,0,2,Active,0
PW008730,2026-03-02,BR,Mobile,1589,Medium,34,1,1,2,1,87.95,76.54,0.0,-0.4155,1,0,7,2,0.1034,1,0,Inactive,1
PW016622,2026-01-05,MX,Mobile,1116,Medium,2,3,8,10,5,316.76,40.38,0.1429,0.1436,1,0,11,3,0.9303,0,6,Active,0
PW026878,2026-02-02,US,Desktop,1025,Medium,27,0,1,4,1,49.21,60.55,0.0,-0.2132,0,0,1,1,0.0189,1,0,Inactive,1
PW014606,2026-01-05,US,Mobile,1286,Medium,1,0,3,7,3,247.54,82.53,0.5,0.1194,1,1,15,2,0.9448,0,2,Active,0
PW001059,2026-04-06,BR,Mobile,1574,Low,5,2,4,5,3,170.29,45.24,0.0,0.0671,2,1,10,2,0.9103,0,2,Active,0
PW028928,2026-01-05,US,Mobile,130,Low,12,0,1,5,1,76.68,82.2,0.0,-0.3215,0,0,5,1,0.2663,1,0,Inactive,1
PW016188,2026-04-06,US,Desktop,340,Low,20,0,0,3,1,27.4,35.12,-1.0,0.0113,1,1,0,2,0.0218,0,1,Active,0
PW020936,2026-03-02,US,Mobile,1075,Low,24,0,3,4,3,21.6,8.29,-0.4,-0.2476,0,0,2,1,0.1106,1,0,Inactive,1
PW001764,2026-04-06,US,Mobile,237,Low,18,0,0,3,1,35.44,34.74,-1.0,0.1414,0,0,0,1,0.1297,0,1,Active,0
PW027643,2026-04-06,CR,Mobile,608,Low,3,1,1,3,1,13.28,15.6,0.0,0.1734,0,0,9,1,0.9572,0,3,Active,0
PW016653,2026-05-04,MX,Mobile,694,Low,12,0,1,1,1,40.87,35.02,0.0,-0.0309,0,0,7,3,0.6758,0,1,Active,0
PW012042,2026-07-06,US,Mobile,973,Medium,10,0,2,7,1,294.8,121.66,0.0,-0.0996,0,2,4,3,0.2572,0,4,Active,1
PW001687,2026-07-06,US,Mobile,501,Medium,62,0,1,2,1,140.93,140.49,-0.5,-0.4879,0,0,0,1,0.0001,1,0,Inactive,1
PW015001,2026-01-05,US,Mobile,1450,High,12,0,4,8,4,220.53,57.69,-0.3333,-0.1519,0,0,1,3,0.4012,0,3,Active,0
PW014404,2026-05-04,US,Desktop,1193,Low,14,0,0,5,1,78.65,98.19,-1.0,0.1572,0,0,1,2,0.1088,0,1,Active,0
PW003600,2026-03-02,MX,Mobile,669,Medium,32,0,0,2,1,153.82,144.16,-1.0,-0.1625,0,0,2,1,,0,3,Active,0
PW015834,2026-02-02,BR,Mobile,840,Medium,12,0,1,1,1,68.72,89.13,0.0,-0.3559,0,1,4,2,0.2348,0,2,Active,0
PW024244,2026-08-03,US,Desktop,1216,Medium,14,0,1,2,1,42.65,44.46,0.0,-0.5532,0,0,0,2,0.0238,0,1,Active,1
PW004568,2026-07-06,US,Desktop,1590,Medium,3,1,2,4,2,69.32,51.39,0.0,-0.0931,0,0,10,4,0.8381,0,5,Active,0
PW007635,2026-03-02,US,Desktop,1758,Low,23,0,2,8,1,43.73,26.82,0.0,-0.6179,0,3,0,1,0.1062,1,0,Inactive,1
PW011771,2026-04-06,CR,Mobile,1603,Low,3,0,0,1,1,45.21,35.06,-1.0,-0.4531,0,0,2,1,0.4306,0,2,Active,0
PW021718,2026-08-03,US,Mobile,979,Low,4,0,2,5,2,54.51,27.4,0.0,-0.0695,1,1,8,2,0.7481,0,2,Active,0
PW019600,2026-01-05,BR,Desktop,1578,Low,2,0,3,7,1,47.81,14.56,0.5,-0.2357,1,0,1,1,0.6245,0,5,Active,0
PW022244,2026-02-02,US,Mobile,1676,Low,20,1,2,4,1,27.41,17.31,-0.3333,-0.3203,0,1,3,1,0.0868,0,5,Active,0
PW002869,2026-02-02,CR,Mobile,601,Low,6,0,3,6,3,121.95,39.28,0.0,0.0985,2,0,2,1,0.4882,0,7,Active,0
PW001721,2026-07-06,MX,Mobile,1888,Low,25,0,0,2,1,36.98,33.45,-1.0,-0.2588,0,0,0,1,0.0024,1,0,Inactive,0
PW000070,2026-05-04,US,Mobile,806,Low,12,0,1,4,1,56.83,46.18,0.0,0.0701,0,1,2,1,0.1792,0,1,Active,0
PW003807,2026-07-06,US,Desktop,1516,Medium,15,0,3,4,3,158.02,51.92,0.0,-0.0272,3,0,8,1,0.5416,0,3,Active,0
PW016120,2026-02-02,BR,Mobile,1458,Medium,1,2,4,8,4,131.31,34.93,-0.2,0.1023,0,0,8,3,0.8694,0,2,Active,0
PW025133,2026-05-04,US,Mobile,1242,Medium,1,0,0,4,1,29.84,33.55,-1.0,-0.302,0,0,9,4,0.927,0,2,Active,0
PW016470,2026-01-05,MX,Mobile,1006,Medium,82,1,1,3,1,25.74,28.39,0.0,-0.5731,1,0,0,2,0.0,1,0,Inactive,1
PW019388,2026-08-03,CR,Mobile,559,Medium,60,1,2,4,2,64.25,35.44,-0.3333,-0.0828,1,0,0,1,0.0003,0,1,Active,0
PW014075,2026-01-05,US,Desktop,1016,Medium,2,0,1,2,1,80.29,105.63,0.0,0.0182,1,0,8,2,0.8527,0,3,Active,0
PW009935,2026-02-02,US,Mobile,1430,Low,16,0,2,4,2,247.31,115.92,0.0,-0.0048,1,0,10,1,0.8038,0,2,Active,0
PW019024,2026-07-06,BR,Mobile,455,Low,12,0,0,3,1,24.51,25.15,-1.0,0.3001,1,0,7,1,0.5659,1,0,Inactive,1
PW008223,2026-07-06,BR,Mobile,1734,Low,4,0,1,3,1,93.94,102.33,0.0,-0.3878,2,0,2,1,0.2474,0,2,Active,0
PW023149,2026-01-05,BR,Mobile,1612,Low,5,0,1,2,1,54.89,44.54,0.0,-0.1394,2,0,1,2,0.5346,0,1,Active,0
PW003083,2026-01-05,US,Mobile,1540,Medium,5,0,1,3,1,77.33,72.3,0.0,-0.4309,1,0,4,1,0.1072,0,3,Active,0
PW014837,2026-07-06,BR,Desktop,1812,Medium,8,0,1,2,1,82.87,73.09,0.0,-0.3057,0,2,0,1,0.0885,0,2,Active,0
PW007020,2026-07-06,MX,Mobile,942,Medium,13,1,4,4,4,211.74,55.79,0.0,0.0325,1,0,6,2,0.566,0,4,Active,0
PW013854,2026-03-02,BR,Mobile,582,Medium,11,1,1,3,1,26.6,,0.0,0.0206,1,0,0,1,0.2135,0,1,Active,0
PW016293,2026-04-06,US,Mobile,1817,Low,7,0,0,5,1,35.71,40.64,-1.0,-0.1212,0,0,5,3,0.7417,0,5,Active,0
PW021635,2026-08-03,BR,Desktop,1397,Medium,17,0,2,5,2,135.4,74.54,0.0,-0.0149,2,0,3,2,0.1231,1,0,Inactive,0
PW028188,2026-07-06,MX,Mobile,1466,Medium,11,1,2,4,2,124.89,55.82,1.0,0.2138,1,0,9,2,0.7214,0,7,Active,0
PW009680,2026-05-04,US,Mobile,646,Low,1,2,2,3,2,130.76,54.69,0.0,0.2459,0,0,5,2,0.2776,0,1,Active,0
PW028195,2026-02-02,MX,Desktop,242,Medium,6,0,3,7,2,173.35,60.21,0.0,0.0973,0,0,5,2,0.5015,0,1,Active,0
PW016114,2026-08-03,MX,Mobile,584,Medium,15,0,0,2,1,53.39,77.85,-1.0,-0.3733,0,0,5,2,0.1518,0,1,Active,0
PW006981,2026-04-06,MX,Desktop,1446,Medium,1,1,6,8,5,214.33,32.11,0.0,0.3337,1,0,8,4,0.742,0,1,Active,1
PW014583,2026-07-06,BR,Mobile,446,Medium,12,1,6,9,6,225.65,48.25,-0.1429,-0.2214,1,0,7,1,0.5207,0,3,Active,0
PW026936,2026-08-03,US,Mobile,617,Medium,3,0,2,5,2,276.51,181.26,-0.5,-0.2844,0,1,2,1,0.1467,0,1,Active,0
PW024414,2026-02-02,US,Mobile,1661,Medium,7,2,2,5,1,45.65,25.96,0.0,-0.3733,0,0,10,2,0.5867,1,0,Inactive,1
PW013968,2026-01-05,US,Mobile,366,High,19,0,3,7,2,640.37,183.55,-0.4,-0.4591,1,1,5,1,0.0517,0,4,Active,0
PW018275,2026-05-04,MX,Mobile,828,Medium,39,0,0,1,1,52.82,58.77,-1.0,-0.1067,1,1,2,1,0.0043,1,0,Inactive,0
PW028764,2026-07-06,MX,Mobile,1200,Low,11,0,0,2,1,69.01,87.67,-1.0,,0,0,0,1,0.0105,0,1,Active,1
PW019827,2026-01-05,CR,Mobile,421,Medium,8,2,10,13,8,520.51,51.58,0.25,0.4439,2,0,13,1,0.9621,0,4,Active,0
PW010402,2026-05-04,US,Desktop,844,High,11,0,5,5,4,761.04,189.75,0.0,0.2551,0,0,12,2,0.94,0,10,Active,0
PW024585,2026-07-06,MX,Mobile,1964,Medium,34,0,3,3,2,131.27,42.95,-0.25,0.0173,0,1,0,1,0.0062,1,0,Inactive,1
PW000394,2026-02-02,US,Mobile,1664,Medium,6,0,4,5,4,359.61,119.52,0.0,-0.0819,1,0,6,1,0.8035,0,4,Active,0
PW001834,2026-03-02,BR,Mobile,1854,Medium,25,0,1,3,1,116.25,105.04,0.0,-0.1743,3,3,0,3,0.0319,0,1,Active,0
PW001744,2026-04-06,BR,Desktop,570,High,1,0,4,4,3,367.91,93.88,-0.2,0.051,0,0,2,1,0.2638,0,1,Active,0
